species_name,taxonKey
Catharus fuscater,2490802
Catharus maculatus,6086112
Catharus minimus,2490826
Chlamydochaera jefferyi,2490710
Cichlopsis leucogenys,2490933
Cochoa viridis,2492554
Geokichla camaronensis,6100884
Geokichla cinerea,6100881
Geokichla citrina,6100882
Geokichla dohertyi,6100887
Geokichla erythronota,6100872
Geokichla interpres,6100879
Geokichla piaggiae,6100875
Geokichla princei,6100890
Geokichla schistacea,6100878
Geokichla sibirica,6100888
Geokichla wardii,6100873
Grandala coelicolor,2492673
Neocossyphus poensis,2490833
Neocossyphus rufus,2490831
Psophocichla litsitsirupa,5789049
Psophocichla simensis,10850433
Stizorhina finschi,5846313
Stizorhina fraseri,5789037
Turdus abyssinicus,7340241
Turdus albocinctus,2490761
Turdus atrogularis,4408790
Turdus boulboul,2490772
Turdus cardis,2490755
Turdus dissimilis,2490789
Turdus eremita,2490856
Turdus eunomus,9615912
Turdus feae,2490758
Turdus flavipes,7342122
Turdus fulviventris,2490738
Turdus fumigatus,9354950
Turdus fuscater,2490717
Turdus haplochrous,2490753
Turdus hauxwelli,2490743
Turdus helleri,5789050
Turdus hortulorum,2490733
Turdus iliacus,2490781
Turdus kessleri,2490747
Turdus lawrencii,2490736
Turdus libonyana,5789055
Turdus ludoviciae,5789051
Turdus maculirostris,2490776
Turdus mandarinus,7852114
Turdus maximus,5846276
Turdus menachensis,2490749
Turdus mupinensis,2490739
Turdus naumanni,8294007
Turdus niveiceps,5733815
Turdus nudigenis,2490763
Turdus obscurus,2490728
Turdus pallidus,2490773
Turdus pelios,9348895
Turdus philomelos,7901064
Turdus pilaris,2490737
Turdus rubrocanus,2490750
Turdus ruficollis,2490740
Turdus sanchezorum,8015451
Turdus simensis,9044413
Turdus simillimus,5846272
Turdus smithi,5846236
Turdus subalaris,2490764
Turdus swalesi,2490745
Turdus tephronotus,2490734
Turdus torquatus,7865305
Turdus turdoides,2490947
Turdus viscivorus,2490774
Turdus xanthorhynchus,5846278
Zoothera andromedae,2490912
Zoothera aurea,4408785
Zoothera dauma,2490890
Zoothera griseiceps,6087032
Zoothera heinrichi,2490931
Zoothera marginata,2490923
Zoothera mollissima,2490913
Zoothera salimalii,9168057
Zoothera talaseae,2490907



















