# taxon distribution range models
# data save on : 2023-10-04T15:06:02-03:00
taxon	type	age	equator	pixel	density
Catharus aurantiirostris	range	0	360	9604	0.003414
Catharus aurantiirostris	range	0	360	9605	0.011304
Catharus aurantiirostris	range	0	360	9606	0.015780
Catharus aurantiirostris	range	0	360	9607	0.015780
Catharus aurantiirostris	range	0	360	9608	0.015780
Catharus aurantiirostris	range	0	360	9609	0.011304
Catharus aurantiirostris	range	0	360	9610	0.003414
Catharus aurantiirostris	range	0	360	9908	0.007890
Catharus aurantiirostris	range	0	360	9909	0.015780
Catharus aurantiirostris	range	0	360	9910	0.023548
Catharus aurantiirostris	range	0	360	9911	0.031315
Catharus aurantiirostris	range	0	360	9912	0.031315
Catharus aurantiirostris	range	0	360	9913	0.031315
Catharus aurantiirostris	range	0	360	9914	0.023548
Catharus aurantiirostris	range	0	360	9915	0.015780
Catharus aurantiirostris	range	0	360	9916	0.011304
Catharus aurantiirostris	range	0	360	10217	0.000034
Catharus aurantiirostris	range	0	360	10218	0.000113
Catharus aurantiirostris	range	0	360	10219	0.023548
Catharus aurantiirostris	range	0	360	10220	0.042341
Catharus aurantiirostris	range	0	360	10221	0.053367
Catharus aurantiirostris	range	0	360	10222	0.053367
Catharus aurantiirostris	range	0	360	10223	0.053367
Catharus aurantiirostris	range	0	360	10224	0.042341
Catharus aurantiirostris	range	0	360	10225	0.031315
Catharus aurantiirostris	range	0	360	10226	0.023548
Catharus aurantiirostris	range	0	360	10227	0.007890
Catharus aurantiirostris	range	0	360	10529	0.007890
Catharus aurantiirostris	range	0	360	10530	0.000235
Catharus aurantiirostris	range	0	360	10531	0.042341
Catharus aurantiirostris	range	0	360	10532	0.053367
Catharus aurantiirostris	range	0	360	10533	0.065732
Catharus aurantiirostris	range	0	360	10534	0.081512
Catharus aurantiirostris	range	0	360	10535	0.085988
Catharus aurantiirostris	range	0	360	10536	0.073622
Catharus aurantiirostris	range	0	360	10537	0.050231
Catharus aurantiirostris	range	0	360	10538	0.031437
Catharus aurantiirostris	range	0	360	10539	0.014718
Catharus aurantiirostris	range	0	360	10540	0.003414
Catharus aurantiirostris	range	0	360	10845	0.000079
Catharus aurantiirostris	range	0	360	10846	0.023548
Catharus aurantiirostris	range	0	360	10847	0.000423
Catharus aurantiirostris	range	0	360	10848	0.065732
Catharus aurantiirostris	range	0	360	10849	0.091534
Catharus aurantiirostris	range	0	360	10850	0.106033
Catharus aurantiirostris	range	0	360	10851	0.117215
Catharus aurantiirostris	range	0	360	10852	0.111668
Catharus aurantiirostris	range	0	360	10853	0.089280
Catharus aurantiirostris	range	0	360	10854	0.065889
Catharus aurantiirostris	range	0	360	10855	0.039327
Catharus aurantiirostris	range	0	360	10856	0.027083
Catharus aurantiirostris	range	0	360	10857	0.014718
Catharus aurantiirostris	range	0	360	10858	0.007890
Catharus aurantiirostris	range	0	360	10859	0.007890
Catharus aurantiirostris	range	0	360	10860	0.007890
Catharus aurantiirostris	range	0	360	10861	0.000034
Catharus aurantiirostris	range	0	360	11163	0.000113
Catharus aurantiirostris	range	0	360	11164	0.023548
Catharus aurantiirostris	range	0	360	11165	0.042341
Catharus aurantiirostris	range	0	360	11166	0.000069
Catharus aurantiirostris	range	0	360	11167	0.096010
Catharus aurantiirostris	range	0	360	11168	0.121098
Catharus aurantiirostris	range	0	360	11169	0.128988
Catharus aurantiirostris	range	0	360	11170	0.141765
Catharus aurantiirostris	range	0	360	11171	0.123853
Catharus aurantiirostris	range	0	360	11172	0.100462
Catharus aurantiirostris	range	0	360	11173	0.077471
Catharus aurantiirostris	range	0	360	11174	0.069825
Catharus aurantiirostris	range	0	360	11175	0.057459
Catharus aurantiirostris	range	0	360	11176	0.034851
Catharus aurantiirostris	range	0	360	11177	0.031437
Catharus aurantiirostris	range	0	360	11178	0.026962
Catharus aurantiirostris	range	0	360	11179	0.000113
Catharus aurantiirostris	range	0	360	11180	0.000079
Catharus aurantiirostris	range	0	360	11181	0.000003
Catharus aurantiirostris	range	0	360	11486	0.000235
Catharus aurantiirostris	range	0	360	11487	0.042341
Catharus aurantiirostris	range	0	360	11488	0.073622
Catharus aurantiirostris	range	0	360	11489	0.001072
