# taxon distribution range models
# data save on : 2023-10-04T14:59:22-03:00
taxon	type	age	equator	pixel	density
Catharus aurantiirostris	points	0	360	11168	1.000000
Catharus aurantiirostris	points	0	360	11169	1.000000
Catharus aurantiirostris	points	0	360	12144	1.000000
Catharus aurantiirostris	points	0	360	12474	1.000000
Catharus aurantiirostris	points	0	360	12479	1.000000
Catharus aurantiirostris	points	0	360	12806	1.000000
Catharus aurantiirostris	points	0	360	12807	1.000000
Catharus aurantiirostris	points	0	360	12810	1.000000
Catharus aurantiirostris	points	0	360	12811	1.000000
Catharus aurantiirostris	points	0	360	13140	1.000000
Catharus aurantiirostris	points	0	360	13141	1.000000
Catharus aurantiirostris	points	0	360	13143	1.000000
Catharus aurantiirostris	points	0	360	13144	1.000000
Catharus aurantiirostris	points	0	360	13145	1.000000
Catharus aurantiirostris	points	0	360	13477	1.000000
Catharus aurantiirostris	points	0	360	13478	1.000000
Catharus aurantiirostris	points	0	360	13479	1.000000
Catharus aurantiirostris	points	0	360	13480	1.000000
Catharus aurantiirostris	points	0	360	13481	1.000000
Catharus aurantiirostris	points	0	360	13482	1.000000
Catharus aurantiirostris	points	0	360	13483	1.000000
Catharus aurantiirostris	points	0	360	13484	1.000000
Catharus aurantiirostris	points	0	360	13815	1.000000
Catharus aurantiirostris	points	0	360	13816	1.000000
Catharus aurantiirostris	points	0	360	13817	1.000000
Catharus aurantiirostris	points	0	360	13818	1.000000
Catharus aurantiirostris	points	0	360	13819	1.000000
Catharus aurantiirostris	points	0	360	13820	1.000000
Catharus aurantiirostris	points	0	360	13821	1.000000
Catharus aurantiirostris	points	0	360	13822	1.000000
Catharus aurantiirostris	points	0	360	14163	1.000000
Catharus aurantiirostris	points	0	360	14164	1.000000
Catharus aurantiirostris	points	0	360	14502	1.000000
Catharus aurantiirostris	points	0	360	14505	1.000000
Catharus aurantiirostris	points	0	360	14506	1.000000
Catharus aurantiirostris	points	0	360	14508	1.000000
Catharus aurantiirostris	points	0	360	14509	1.000000
Catharus aurantiirostris	points	0	360	14850	1.000000
Catharus aurantiirostris	points	0	360	14854	1.000000
Catharus aurantiirostris	points	0	360	14855	1.000000
Catharus aurantiirostris	points	0	360	14856	1.000000
Catharus aurantiirostris	points	0	360	14857	1.000000
Catharus aurantiirostris	points	0	360	15200	1.000000
Catharus aurantiirostris	points	0	360	15201	1.000000
Catharus aurantiirostris	points	0	360	15202	1.000000
Catharus aurantiirostris	points	0	360	15206	1.000000
Catharus aurantiirostris	points	0	360	15550	1.000000
Catharus aurantiirostris	points	0	360	15551	1.000000
Catharus aurantiirostris	points	0	360	15552	1.000000
Catharus aurantiirostris	points	0	360	15553	1.000000
Catharus aurantiirostris	points	0	360	15554	1.000000
Catharus aurantiirostris	points	0	360	15555	1.000000
Catharus aurantiirostris	points	0	360	15902	1.000000
Catharus aurantiirostris	points	0	360	15903	1.000000
Catharus aurantiirostris	points	0	360	15904	1.000000
Catharus aurantiirostris	points	0	360	16256	1.000000
Catharus aurantiirostris	points	0	360	16620	1.000000
Catharus aurantiirostris	points	0	360	16962	1.000000
Catharus aurantiirostris	points	0	360	16963	1.000000
Catharus aurantiirostris	points	0	360	16964	1.000000
Catharus aurantiirostris	points	0	360	16975	1.000000
Catharus aurantiirostris	points	0	360	16984	1.000000
Catharus aurantiirostris	points	0	360	17319	1.000000
Catharus aurantiirostris	points	0	360	17320	1.000000
Catharus aurantiirostris	points	0	360	19472	1.000000
Catharus aurantiirostris	points	0	360	19832	1.000000
Catharus aurantiirostris	points	0	360	19833	1.000000
Catharus aurantiirostris	points	0	360	20191	1.000000
Catharus bicknelli	points	0	360	5016	1.000000
Catharus bicknelli	points	0	360	5496	1.000000
Catharus bicknelli	points	0	360	5991	1.000000
Catharus bicknelli	points	0	360	6246	1.000000
Catharus bicknelli	points	0	360	6247	1.000000
Catharus bicknelli	points	0	360	6248	1.000000
Catharus bicknelli	points	0	360	6252	1.000000
Catharus bicknelli	points	0	360	6507	1.000000
Catharus dryas	points	0	360	14507	1.000000
Catharus dryas	points	0	360	14508	1.000000
Catharus dryas	points	0	360	14509	1.000000
Catharus dryas	points	0	360	14853	1.000000
Catharus dryas	points	0	360	14854	1.000000
Catharus dryas	points	0	360	14855	1.000000
Catharus dryas	points	0	360	15200	1.000000
Catharus dryas	points	0	360	15201	1.000000
Catharus dryas	points	0	360	15202	1.000000
Catharus dryas	points	0	360	15204	1.000000
Catharus dryas	points	0	360	15550	1.000000
Catharus frantzii	points	0	360	13145	1.000000
Catharus frantzii	points	0	360	13477	1.000000
Catharus frantzii	points	0	360	13478	1.000000
Catharus frantzii	points	0	360	13483	1.000000
Catharus frantzii	points	0	360	13815	1.000000
Catharus frantzii	points	0	360	13817	1.000000
Catharus frantzii	points	0	360	13819	1.000000
Catharus frantzii	points	0	360	13820	1.000000
Catharus frantzii	points	0	360	13822	1.000000
Catharus frantzii	points	0	360	14159	1.000000
Catharus frantzii	points	0	360	14160	1.000000
Catharus frantzii	points	0	360	14163	1.000000
Catharus frantzii	points	0	360	14502	1.000000
Catharus frantzii	points	0	360	14503	1.000000
Catharus frantzii	points	0	360	14505	1.000000
Catharus frantzii	points	0	360	14506	1.000000
Catharus frantzii	points	0	360	14509	1.000000
Catharus frantzii	points	0	360	14510	1.000000
Catharus frantzii	points	0	360	14850	1.000000
Catharus frantzii	points	0	360	14853	1.000000
Catharus frantzii	points	0	360	14854	1.000000
Catharus frantzii	points	0	360	14855	1.000000
Catharus frantzii	points	0	360	15200	1.000000
Catharus frantzii	points	0	360	15201	1.000000
Catharus frantzii	points	0	360	15202	1.000000
Catharus frantzii	points	0	360	15203	1.000000
Catharus frantzii	points	0	360	15204	1.000000
Catharus frantzii	points	0	360	15550	1.000000
Catharus frantzii	points	0	360	15552	1.000000
Catharus frantzii	points	0	360	15553	1.000000
