# time calibrated phylogenetic trees
# data saved on: 2023-10-04T14:39:42-03:00
tree	node	parent	age	taxon
turdidae	10	-1	19135011	
turdidae	11	10	17284574	
turdidae	12	11	2	Grandala coelicolor
turdidae	13	11	3830227	
turdidae	14	13	2	Sialia sialis
turdidae	15	13	2987184	
turdidae	16	15	2	Sialia currucoides
turdidae	17	15	2	Sialia mexicana
turdidae	18	10	18363406	
turdidae	19	18	15354673	
turdidae	20	19	5580369	
turdidae	21	20	4433252	
turdidae	22	21	1	Neocossyphus poensis
turdidae	23	21	1	Neocossyphus rufus
turdidae	24	20	1493886	
turdidae	25	24	2	Stizorhina finschi
turdidae	26	24	2	Stizorhina fraseri
turdidae	27	19	7073864	
turdidae	28	27	5159820	
turdidae	29	28	1	Myadestes occidentalis
turdidae	30	28	1	Myadestes unicolor
turdidae	31	27	6376353	
turdidae	32	31	5734582	
turdidae	33	32	0	Myadestes townsendi
turdidae	34	32	2398036	
turdidae	35	34	0	Myadestes myadestinus
turdidae	36	34	0	Myadestes obscurus
turdidae	37	31	5928655	
turdidae	38	37	1	Myadestes elisabeth
turdidae	39	37	5476236	
turdidae	40	39	1	Myadestes genibarbis
turdidae	41	39	2485962	
turdidae	42	41	2	Myadestes ralloides
turdidae	43	41	621363	
turdidae	44	43	1	Myadestes coloratus
turdidae	45	43	1	Myadestes melanops
turdidae	46	18	14203700	
turdidae	47	46	13001503	
turdidae	48	47	11269970	
turdidae	49	48	2	Ixoreus naevius
turdidae	50	48	2	Ridgwayia pinicola
turdidae	51	47	12159559	
turdidae	52	51	2	Hylocichla mustelina
turdidae	53	51	11557825	
turdidae	54	53	6751482	
turdidae	55	54	1	Cichlopsis leucogenys
turdidae	56	54	1459544	
turdidae	57	56	2	Entomodestes coracinus
turdidae	58	56	2	Entomodestes leucotis
turdidae	59	53	8522263	
turdidae	60	59	6915867	
turdidae	61	60	2	Catharus fuscater
turdidae	62	60	6242126	
turdidae	63	62	1	Catharus mexicanus
turdidae	64	62	5886397	
turdidae	65	64	1	Catharus aurantiirostris
turdidae	66	64	632082	
turdidae	67	66	1	Catharus dryas
turdidae	68	66	1	Catharus maculatus
turdidae	69	59	7028590	
turdidae	70	69	1	Catharus ustulatus
turdidae	71	69	5299446	
turdidae	72	71	1165418	
turdidae	73	72	1	Catharus bicknelli
turdidae	74	72	916961	
turdidae	75	74	1	Catharus fuscescens
turdidae	76	74	1	Catharus minimus
turdidae	77	71	4976613	
turdidae	78	77	2	Catharus frantzii
turdidae	79	77	4474845	
turdidae	80	79	2	Catharus gracilirostris
turdidae	81	79	3064296	
turdidae	82	81	2	Catharus guttatus
turdidae	83	81	2	Catharus occidentalis
turdidae	84	46	13581431	
turdidae	85	84	13167718	
turdidae	86	85	7148271	
turdidae	87	86	2	Chlamydochaera jefferyi
turdidae	88	86	2	Cochoa viridis
turdidae	89	85	9842634	
turdidae	90	89	8402281	
turdidae	91	90	1	Zoothera mollissima
turdidae	92	90	6644468	
turdidae	93	92	2	Zoothera salimalii
turdidae	94	92	2680885	
turdidae	95	94	1	Zoothera dixoni
turdidae	96	94	1	Zoothera griseiceps
turdidae	97	89	8606230	
turdidae	98	97	7554294	
turdidae	99	98	1	Zoothera everetti
turdidae	100	98	6597933	
turdidae	101	100	1	Zoothera marginata
turdidae	102	100	1	Zoothera monticola
turdidae	103	97	7969248	
turdidae	104	103	1	Zoothera heinrichi
turdidae	105	103	5160703	
turdidae	106	105	0	Zoothera andromedae
turdidae	107	105	4514034	
turdidae	108	107	758966	
turdidae	109	108	0	Zoothera aurea
turdidae	110	108	0	Zoothera dauma
turdidae	111	107	3429775	
turdidae	112	111	0	Zoothera margaretae
turdidae	113	111	2034561	
turdidae	114	113	0	Zoothera lunulata
turdidae	115	113	1856546	
turdidae	116	115	0	Zoothera heinei
turdidae	117	115	0	Zoothera talaseae
turdidae	118	84	12624222	
turdidae	119	118	11903102	
turdidae	120	119	8585593	
turdidae	121	120	1	Geokichla sibirica
turdidae	122	120	1	Geokichla wardii
turdidae	123	119	7023898	
turdidae	124	123	5809280	
turdidae	125	124	4414182	
turdidae	126	125	1	Geokichla camaronensis
turdidae	127	125	1	Geokichla princei
turdidae	128	124	4582576	
turdidae	129	128	4179068	
turdidae	130	129	1	Geokichla crossleyi
turdidae	131	129	1	Geokichla gurneyi
turdidae	132	128	3846819	
turdidae	133	132	0	Geokichla oberlaenderi
turdidae	134	132	0	Geokichla piaggiae
turdidae	135	123	6371982	
